"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.2","10.0.0.1","TCP","7306","60410  >  5001 [PSH, ACK] Seq=1 Ack=1 Win=83 Len=7240 TSval=3797883463 TSecr=73503001"
"2","0.000604","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=7241 Win=78 Len=0 TSval=73503051 TSecr=3797883463"
"3","0.066427","10.0.0.2","10.0.0.1","TCP","10202","60410  >  5001 [PSH, ACK] Seq=7241 Ack=1 Win=83 Len=10136 TSval=3797883464 TSecr=73503003"
"4","0.066585","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=17377 Win=75 Len=0 TSval=73503117 TSecr=3797883464"
"5","0.145261","10.0.0.2","10.0.0.1","TCP","4410","60410  >  5001 [PSH, ACK] Seq=17377 Ack=1 Win=83 Len=4344 TSval=3797883480 TSecr=73503003"
"6","0.145373","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=21721 Win=80 Len=0 TSval=73503196 TSecr=3797883480"
"7","0.182088","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=21721 Ack=1 Win=83 Len=2896 TSval=3797883578 TSecr=73503117"
"8","0.182231","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=24617 Win=82 Len=0 TSval=73503233 TSecr=3797883578"
"9","0.206740","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=24617 Ack=1 Win=83 Len=2896 TSval=3797883656 TSecr=73503196"
"10","0.206900","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=27513 Win=82 Len=0 TSval=73503258 TSecr=3797883656"
"11","0.230318","10.0.0.2","10.0.0.1","TCP","1514","60410  >  5001 [PSH, ACK] Seq=27513 Ack=1 Win=83 Len=1448 TSval=3797883693 TSecr=73503233"
"12","0.230538","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=28961 Win=83 Len=0 TSval=73503281 TSecr=3797883693"
"13","0.242108","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=28961 Ack=1 Win=83 Len=2896 TSval=3797883693 TSecr=73503233"
"14","0.242222","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=31857 Win=82 Len=0 TSval=73503293 TSecr=3797883693"
"15","0.266265","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=31857 Ack=1 Win=83 Len=2896 TSval=3797883718 TSecr=73503258"
"16","0.266406","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=34753 Win=82 Len=0 TSval=73503317 TSecr=3797883718"
"17","0.290615","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=34753 Ack=1 Win=83 Len=2896 TSval=3797883753 TSecr=73503293"
"18","0.290806","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=37649 Win=82 Len=0 TSval=73503342 TSecr=3797883753"
"19","0.315081","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=37649 Ack=1 Win=83 Len=2896 TSval=3797883777 TSecr=73503317"
"20","0.315221","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=40545 Win=82 Len=0 TSval=73503366 TSecr=3797883777"
"21","0.339923","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=40545 Ack=1 Win=83 Len=2896 TSval=3797883802 TSecr=73503342"
"22","0.340308","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=43441 Win=82 Len=0 TSval=73503391 TSecr=3797883802"
"23","0.357388","fe80::e818:6bff:fea8:3b78","ff02::2","ICMPv6","70","Router Solicitation from ea:18:6b:a8:3b:78"
"24","0.364341","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=43441 Ack=1 Win=83 Len=2896 TSval=3797883826 TSecr=73503366"
"25","0.364527","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=46337 Win=82 Len=0 TSval=73503415 TSecr=3797883826"
"26","0.387438","10.0.0.2","10.0.0.1","TCP","2962","60410  >  5001 [PSH, ACK] Seq=46337 Ack=1 Win=83 Len=2896 TSval=3797883851 TSecr=73503391"
"27","0.387627","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=49233 Win=82 Len=0 TSval=73503438 TSecr=3797883851"
"28","0.411765","10.0.0.2","10.0.0.1","TCP","1514","60410  >  5001 [PSH, ACK] Seq=49233 Ack=1 Win=83 Len=1448 TSval=3797883876 TSecr=73503415"
"29","0.412264","10.0.0.1","10.0.0.2","TCP","66","5001  >  60410 [ACK] Seq=1 Ack=50681 Win=83 Len=0 TSval=73503463 TSecr=3797883876"
